id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzY0O8WCU9dmmoQIlV4AaABAg	0	1	2022-02-08 20:54:57	Javier Membreño	Esta experiencia que nos sirva para abrir los ojos, politica=mafia	UCF5qm_-FJJLTa3lgvXpGj-Q	http://www.youtube.com/channel/UCF5qm_-FJJLTa3lgvXpGj-Q	0		
UgwN9w2A6Rb1wVv6sLV4AaABAg	0	0	2022-02-08 16:02:36	narciso romero	Nose save que negociaron	UCCjnlE4IC9_7uLmsazupzxA	http://www.youtube.com/channel/UCCjnlE4IC9_7uLmsazupzxA	0		
Ugwu0BnwSdf2TQTbTEF4AaABAg	0	0	2022-02-08 14:47:06	Jose salvador Rodriguez martines	Muy bien por este diputo hilos de lotos de abuso de actoridad que cometió en Hondutel los borró con el pacto de Amistilla que presentó que sunismo de Honbre	UCHOzmn2csN2XBR6BhArqEgw	http://www.youtube.com/channel/UCHOzmn2csN2XBR6BhArqEgw	0		
UgxMbPuYV7XBJ9Lmuz14AaABAg	0	0	2022-02-08 13:12:25	Victor Rubén Claros Cartagena Rubén Claros	No crean que de gratis Renunció Jorge calix se jugó algún gran billeton que sin duda saldrá de las costillas de nosotros	UC2WoIyTBwwKWJbcXRvFccDw	http://www.youtube.com/channel/UC2WoIyTBwwKWJbcXRvFccDw	0		
Ugz_h3F455G5OIBGGDZ4AaABAg	0	1	2022-02-07 22:25:29	el fan #1	Que bueno rrazel tome sigue duro	UCfppfu0ey6OHwwurWw6Gi1Q	http://www.youtube.com/channel/UCfppfu0ey6OHwwurWw6Gi1Q	0		
Ugxmysu0p0Kfznr64jN4AaABAg	0	0	2022-02-07 19:26:10	Omar Martimez	Será que al fin van a sacar quiénes son los verdaderos delincuentes, me imagino que le va decir a su prima que entregue llama narko libretas	UCyW0HEMgp6LBO2fbdxjkkFQ	http://www.youtube.com/channel/UCyW0HEMgp6LBO2fbdxjkkFQ	0		
UgwKQoO4yFvO_TxO9Dh4AaABAg	0	0	2022-02-07 17:27:24	Antonio Morales	Esos medios ya sabemos de k elado están rosell tome k no te comfundan	UCpUF6mxICzITpT9GsbKKAwA	http://www.youtube.com/channel/UCpUF6mxICzITpT9GsbKKAwA	0		
UgyV8C1ObmL_xjCzy-p4AaABAg	0	0	2022-02-07 17:24:52	Antonio Morales	Vamos pueblo al congreso todos unidos estar vigilantes lo k van aser estos diputados no dejemos k los rescaten lo k ya está ganado	UCpUF6mxICzITpT9GsbKKAwA	http://www.youtube.com/channel/UCpUF6mxICzITpT9GsbKKAwA	0		
Ugxg7uXdCvKkjRiL3A14AaABAg	0	1	2022-02-07 17:23:50	Fátima Rodríguez	Adelante libre estamos expectantes a lo que se vive	UCiGlLtIDJzc8swV0v0Epr-Q	http://www.youtube.com/channel/UCiGlLtIDJzc8swV0v0Epr-Q	0		
Ugx8CiN-W8uroeAPcQJ4AaABAg	0	0	2022-02-07 17:21:28	martha mejia soriano	Ya el pueblo tie su directiva firmes, cachurecos se aguantan hoy no controlan las balas por que eso le daban al pueblo y toleteadas	UC1mYIUyZg7L_LkyCNBo3GUg	http://www.youtube.com/channel/UC1mYIUyZg7L_LkyCNBo3GUg	0		
Ugwh7w8Rxb-bBCGPSSN4AaABAg	0	0	2022-02-07 16:38:21	El Wito HND	El pueblo pudo dalre el Congreso pero saco las garras antes de tiempo hoy no se confía en personas así queremos cambio para nuestro pais no que nos sigan robando	UCApVnvU97eRWm-VnQhePPTw	http://www.youtube.com/channel/UCApVnvU97eRWm-VnQhePPTw	0		
Ugx2HqD2XoUYI3loW0R4AaABAg	0	0	2022-02-07 16:28:46	Karla Rubio	Negociaron la corte con Yani..	UC8TakPdEWq7i-Qw31tOJojg	http://www.youtube.com/channel/UC8TakPdEWq7i-Qw31tOJojg	0		
UgyLfOWCEt7EhpNi2G14AaABAg	0	0	2022-02-07 16:17:03	Mercedes Pereyra	Esos traidores desde luego no atendieron el yamado de doña Xiomara ni del partido libre es porke no kieren estar del lado del pueblo y el narco cachureco mentado Ayala amata cavallo los keria poner en el congreso porke ya yevavan la linia del crimen organisado esos delincuentes todo lokieren poner ala fuersas se kerian pasar por ensima del pueblo ke salimos avotar para ke doña Xiomara mandé nuestra nación y sea nuestra presidente y botamos en plancha parake tuviera el apoyo dela bancada de libre paro no ya elejidos los traidores se unieron al crimen organisado traicionando al pueblo keles dió un mandato tragiinaron al partido y a nuestra presidente por eso el pueblo los repudia porke se unieron alos delincuentes de Honduras ke tienen enla miseria al pueblo seles olvidó la lucha de 12 años por andar en elicoptero y en prados blindadas y ke les pagen del mismo dinero del pueblo miren asta el último día se rovaron 110 millones de dólares del imjupen solo con eso les pagan aesos 17 traidores keya son una sola banda con los narcos cachurecos y liberales yanistas lavadores de activos pueblo ayke estar vijilando esa crapulas y atentos al yamado de nuestra presidente porke esos criminales creen ke todavía está el narco traficante Juan Orlando hernandes CC4 y van Aser loke tengan keaser para ir ajoder al congreso vivos pueblo apoyar a Luis Redondo y nuestra presidente yanomas delincuentes en ese congreso nunca isieron nada por el pueblo solo para los grupos criminales de Honduras es oy onunca fuera se fueron	UCs0MuGcI6KEELX2N_z_qKNg	http://www.youtube.com/channel/UCs0MuGcI6KEELX2N_z_qKNg	0		
UgwyW8W9qgQ7pW59NiB4AaABAg	0	0	2022-02-07 16:12:14	Ana Quan	Ese que está en el canal es otro CORRUPTO	UCgwNfl8MpSTLIWGY4qHkreQ	http://www.youtube.com/channel/UCgwNfl8MpSTLIWGY4qHkreQ	0		
UgxdEXdFioEpRTmRASt4AaABAg	0	3	2022-02-07 15:47:16	Martha Isabel	Ahí tendríamos a Jorge calix de presidente del congreso, se lo iban a entregar en bandeja de plata, pero Dios todavía nos ama	UCIKsp6eAY6_hWn6Sb0rmDgw	http://www.youtube.com/channel/UCIKsp6eAY6_hWn6Sb0rmDgw	0		
